'terminos de busqueda','numero de paginas de resultados'
'a-coruna','10'
'abrera','1'
'adeje','1'
'adra','1'
'aguadulce','1'
'aguilar-de-campoo','1'
'aguilas','1'
'alagon','1'
'alamo-el','2'
'alaquas','1'
'alava','6'
'albacete','6'
'albatera','1'
'alberca-las-torres','3'
'albi-l','1'
'albolote','4'
'alboraya','1'
'albox','1'
'alcala-de-guadaira','2'
'alcala-de-henares','9'
'alcala-la-real','1'
'alcantarilla','1'
'alcaniz','1'
'alcazar-de-san-juan','1'
'alcazares-los','1'
'alcobendas','6'
'alcora','1'
'alcorcon','7'
'alcoy','2'
'alcudia','1'
'aldaia','1'
'alella','6'
'alfafar','2'
'algaba-la','2'
'algaida','1'
'algeciras','4'
'algemesi','1'
'algete','1'
'algorta','3'
'alhama-de-murcia','1'
'alhaurin-de-la-torre','3'
'alhaurin-el-grande','2'
'alicante','19'
'almansa','1'
'almassera','11'
'almazora','7'
'almenara','4'
'almendralejo','1'
'almeria','12'
'almerimar','2'
'almoradi','1'
'almunecar','2'
'almusafes','1'
'alpedrete','5'
'altafulla','1'
'altea','1'
'alzira','2'
'amorebieta','1'
'amposta','3'
'andujar','1'
'antas','1'
'antequera','2'
'aracena','1'
'arahal-el','1'
'aranda-de-duero','1'
'aranjuez','3'
'aravaca','5'
'arbucies','1'
'archena','1'
'arcos-de-la-frontera','1'
'arenys-de-mar','1'
'arenys-de-munt','1'
'arganda-del-rey','2'
'argentona','10'
'arguineguin','1'
'arjona','1'
'armilla','1'
'arnedo','1'
'arona','2'
'arrecife','2'
'arriondas','1'
'arroyo-de-la-encomienda','7'
'arroyo-de-la-miel','3'
'arroyomolinos','1'
'arta','1'
'arteixo','1'
'artes','7'
'arucas','2'
'aspe','2'
'astorga','1'
'atarfe','19'
'avila','1'
'aviles','3'
'ayamonte','1'
'ayora','1'
'azkoitia','1'
'azuqueca-de-henares','2'
'badajoz','8'
'badalona','8'
'badia-del-valles','1'
'baena','1'
'baiona','2'
'balaguer','1'
'banyoles','2'
'barakaldo','2'
'barbastro','1'
'barbate','1'
'barbera-del-valles','2'
'barcelona','122'
'barco-o','1'
'basauri','21'
'bascara','1'
'baza','1'
'beas','4'
'begues','10'
'bejar','1'
'bellaterra','14'
'bellpuig','2'
'benajarafe','4'
'benalmadena','4'
'benavente','1'
'benetusser','1'
'benicarlo','2'
'benicasim','1'
'benidorm','3'
'benifaio','1'
'benissa','2'
'berango','1'
'berga','2'
'betanzos','1'
'betera','3'
'bilbao','19'
'binefar','1'
'binissalem','1'
'blanes','2'
'boadilla-del-monte','4'
'bolanos-de-calatrava','1'
'bollullos-de-la-mitacion','1'
'bormujos','2'
'brena-alta','1'
'brunete','1'
'bueu','11'
'bullas','1'
'bunol','1'
'burela','1'
'burgos','4'
'burjassot','1'
'burriana','2'
'cabanillas-del-campo','3'
'cabezo-de-torres','1'
'cabra','1'
'caceres','5'
'cadiz','7'
'calaf','1'
'calafell','1'
'calahorra','1'
'calatayud','1'
'caldes-de-malavella','1'
'caldes-de-montbui','1'
'calella','2'
'callosa-de-segura','2'
'calpe','1'
'camas','1'
'cambre','1'
'cambrils','1'
'campanillas','11'
'campello','3'
'campos','1'
'canals','1'
'candelaria','1'
'canet-d-adri','8'
'canet-de-mar','1'
'cangas','5'
'capellades','1'
'caravaca-de-la-cruz','1'
'carballo','1'
'carcaixent','3'
'cardedeu','2'
'carmona','1'
'carrizal','1'
'cartagena','5'
'cassa-de-la-selva','1'
'castalla','1'
'castellar-del-valles','1'
'castellbisbal','1'
'castelldefels','3'
'castellon-de-la-plana','7'
'castilleja-de-la-cuesta','1'
'castrillon','1'
'castro-urdiales','1'
'castuera','1'
'catarroja','1'
'catral','1'
'cazorla','1'
'cee','1'
'cehegin','1'
'celra','9'
'cercedilla','1'
'cerdanyola-del-valles','2'
'cervello','1'
'cervera','1'
'ceuta','1'
'chiclana-de-la-frontera','3'
'chipiona','1'
'churriana','4'
'churriana-de-la-vega','17'
'ciempozuelos','5'
'cieza','1'
'ciudad-real','3'
'ciudad-santo-domingo','1'
'ciutadella-de-menorca','1'
'coin','1'
'collado-mediano','1'
'collado-villalba','4'
'colmenar-viejo','2'
'conil-de-la-frontera','1'
'corbera-de-llobregat','4'
'cordoba','11'
'coria','1'
'coria-del-rio','1'
'cornella-de-llobregat','3'
'coslada','3'
'costa-teguise','2'
'crevillente','1'
'cuarte-de-huerva','2'
'cubelles','1'
'cuenca','3'
'cullera','2'
'cunit','1'
'daganzo-de-arriba','1'
'daimiel','1'
'denia','2'
'dolores','1'
'don-benito','1'
'donostia-san-sebastian','7'
'dos-hermanas','5'
'dosrius','11'
'durango','1'
'ecija','1'
'eibar','1'
'ejea-de-los-caballeros','1'
'el-albir','1'
'el-arenal','1'
'el-casar','1'
'el-ejido','2'
'el-espinar','2'
'el-masnou','2'
'el-molar','1'
'el-palmar','3'
'el-prat-de-llobregat','2'
'el-rosario','5'
'el-vendrell','2'
'el-viso-del-alcor','1'
'elche','7'
'elda','3'
'elx','7'
'enguera','1'
'erandio','2'
'esparreguera','1'
'espartinas','2'
'espejo','1'
'esplugues-de-llobregat','3'
'estacion-de-cartama','1'
'estepa','1'
'estepona','2'
'felanitx','3'
'fene','1'
'fernan-nunez','1'
'ferrol','2'
'figueres','3'
'foios','2'
'formentera-del-segura','1'
'fraga','1'
'fuengirola','5'
'fuenlabrada','4'
'fuensalida','1'
'galapagar','1'
'galdakao','1'
'galdar','1'
'gandia','3'
'garrucha','1'
'gava','8'
'gernika-lumo','1'
'getafe','5'
'getxo','3'
'gijon','7'
'gines','2'
'girona','9'
'gojar','17'
'gondomar','5'
'gozon','2'
'granada','21'
'granollers','7'
'grinon','7'
'guadalajara','2'
'guadarrama','1'
'guadix','1'
'guardamar-del-segura','1'
'hellin','1'
'huelva','6'
'huercal-de-almeria','4'
'huercal-overa','1'
'huesca','2'
'ibi','1'
'ibiza','3'
'icod-de-los-vinos','1'
'igorre','1'
'igualada','3'
'illescas','1'
'inca','1'
'irun','1'
'isla-cristina','1'
'jaca','1'
'jaen','6'
'javea','2'
'jerez-de-la-frontera','8'
'jijona','1'
'jumilla','1'
'l-ametlla-del-valles','2'
'l-eliana','1'
'l-escala','1'
'l-hospitalet-de-llobregat','13'
'la-baneza','1'
'la-canada','1'
'la-canada-de-san-urbano','7'
'la-carlota','1'
'la-carolina','1'
'la-estrada','6'
'la-garriga','2'
'la-llagosta','1'
'la-nucia','1'
'la-orotava','2'
'la-pobla-de-vallbona','1'
'la-roca-del-valles','8'
'la-union','5'
'la-vall-d-uixo','1'
'laguna-de-duero','1'
'langreo','1'
'laracha','1'
'las-gabias','2'
'las-palmas-de-gran-canaria','17'
'las-rozas-de-madrid','6'
'lasarte-oria','2'
'lebrija','1'
'leganes','6'
'leioa','1'
'leon','7'
'lepe','1'
'les-franqueses-del-valles','1'
'les-roquetes','122'
'linares','1'
'linea-de-la-concepcion','1'
'llagostera','1'
'llanars','1'
'llanca','1'
'llanes','1'
'llano-de-brujas','1'
'lleida','7'
'llerena','1'
'llers','3'
'llica-de-vall','1'
'llinars-del-valles','1'
'lliria','1'
'lloret-de-mar','2'
'llucmajor','1'
'logrono','5'
'loja','1'
'lora-del-rio','1'
'lorca','2'
'los-arenales-del-sol','2'
'los-barrios','1'
'los-cristianos','1'
'los-llanos-de-aridane','1'
'los-molinos','2'
'los-palacios-y-villafranca','1'
'los-realejos','1'
'lucena','2'
'lugo','2'
'lugones','2'
'madrid','187'
'madridejos','1'
'madrigueras','1'
'mairena-del-aljarafe','5'
'majadahonda','6'
'malaga','39'
'malgrat-de-mar','4'
'manises','1'
'manlleu','5'
'manresa','7'
'manzanares','1'
'manzanares-el-real','2'
'mao-mahon','1'
'maracena','16'
'marbella','9'
'marchena','1'
'marratxi','19'
'martorell','2'
'martos','1'
'maspalomas','1'
'masquefa','3'
'massamagrell','1'
'massanassa','3'
'matadepera','8'
'mataro','9'
'mazarron','1'
'meco','1'
'medina-del-campo','1'
'medina-sidonia','1'
'mediona','1'
'mejorada-del-campo','2'
'meliana','6'
'melilla','1'
'merida','3'
'miajadas','1'
'mieres','1'
'miguel-esteban','1'
'miguelturra','3'
'mijas','7'
'mijas-costa','1'
'miraflores-de-la-sierra','1'
'miranda-de-ebro','1'
'mislata','1'
'moana','9'
'moia','1'
'mojacar','1'
'molina-de-segura','1'
'molins-de-rei','3'
'mollerussa','1'
'mollet-del-valles','4'
'mollo','1'
'moncada','1'
'monovar-monover','3'
'montcada-i-reixac','5'
'montequinto','2'
'montijo','1'
'montilla','2'
'montmelo','1'
'montornes-del-valles','5'
'montserrat','2'
'monzon','1'
'mora','1'
'moraleja','1'
'moralzarzal','1'
'moron-de-la-frontera','1'
'mostoles','6'
'motril','2'
'mungia','21'
'murcia','21'
'muro','1'
'muro-del-alcoy','1'
'museros','1'
'mutxamel','2'
'naron','2'
'navacerrada','1'
'navalcarnero','3'
'navalmoral-de-la-mata','1'
'navatejera','7'
'nerja','1'
'nigran','10'
'novelda','1'
'nules','1'
'o-barco-de-valdeorras','1'
'o-carballino','1'
'odena','3'
'oleiros','2'
'olerdola','3'
'olesa-de-montserrat','1'
'olias-del-rey','1'
'oliva','4'
'olivares','9'
'olivenza','1'
'olot','1'
'olula-del-rio','1'
'onda','1'
'ontinyent','1'
'ordes','1'
'ordizia','1'
'orihuela','2'
'osuna','1'
'ourense','4'
'oviedo','8'
'paiporta','10'
'palafolls','1'
'palafrugell','2'
'palamos','1'
'palau-de-plegamans','3'
'palau-saverdera','2'
'palau-solita-i-plegamans','3'
'palencia','2'
'palma-de-mallorca','21'
'palma-del-rio','1'
'palmanova','2'
'palomares-del-rio','5'
'pamplona','7'
'paracuellos-de-jarama','3'
'parets-del-valles','2'
'parla','2'
'paterna','1'
'patino','2'
'pego','1'
'peligros','3'
'penafiel','1'
'perillo-oleiros','10'
'piera','2'
'pilar-de-la-horadada','1'
'pilas','1'
'pineda-de-mar','1'
'pinoso','1'
'pinseque','1'
'pinto','3'
'plasencia','2'
'platja-d-aro','2'
'pobla-de-segur-la','1'
'pola-de-laviana','1'
'pola-de-siero','1'
'polinya','14'
'ponferrada','1'
'ponteareas','1'
'pontevedra','5'
'porrino','2'
'portocristo','1'
'portugalete','1'
'posadas','1'
'pozoblanco','1'
'pozuelo','7'
'pozuelo-de-alarcon','7'
'pravia','1'
'premia-de-dalt','5'
'premia-de-mar','2'
'priego-de-cordoba','1'
'puebla-de-cazalla-la','1'
'puente-genil','1'
'puerto-de-la-cruz','1'
'puerto-de-sagunto','3'
'puerto-de-santa-maria-el','4'
'puerto-del-rosario','1'
'puerto-real','1'
'puertollano','1'
'puigcerda','1'
'punta-umbria','5'
'puzol','1'
'quart-de-poblet','9'
'quintanar-de-la-orden','1'
'rafelbunyol','1'
'rambla-la','1'
'redondela','13'
'reinosa','1'
'renteria','1'
'requena','1'
'reus','7'
'riba-roja-de-turia','1'
'ribadeo','1'
'ribeira','1'
'rincon-de-la-victoria','1'
'ripoll','1'
'ripollet','2'
'rivas-vaciamadrid','4'
'rivas-vaciamadrid','4'
'roda-de-ter','5'
'ronda','2'
'roquetas-de-mar','2'
'roses','1'
'rota','2'
'rubi','3'
'rute','3'
'sa-pobla','2'
'sabadell','10'
'sabinanigo','1'
'sada','1'
'sagunto-sagunt','2'
'salamanca','7'
'salceda-de-caselas','2'
'salobrena','2'
'salou','1'
'san-agustin-de-guadalix','1'
'san-cristobal-de-la-laguna','4'
'san-feliu-de-guixols','2'
'san-fernando','4'
'san-fernando-de-henares','5'
'san-ildefonso','1'
'san-javier','1'
'san-jose-de-la-rinconada','1'
'san-juan-de-alicante','5'
'san-juan-de-aznalfarache','3'
'san-lorenzo-de-el-escorial','2'
'san-martin-de-la-vega','3'
'san-martin-de-valdeiglesias','1'
'san-miguel-de-abona','2'
'san-pedro-de-alcantara','2'
'san-sebastian-de-los-reyes','8'
'san-vicente-de-la-barquera','1'
'san-vicente-del-raspeig','2'
'sanlucar-de-barrameda','1'
'sanlucar-la-mayor','1'
'sant-adria-del-besos','51'
'sant-andreu-de-la-barca','1'
'sant-andreu-de-llavaneres','10'
'sant-antoni-de-portmany','1'
'sant-antoni-de-vilamajor','2'
'sant-boi-de-llobregat','4'
'sant-carles-de-la-rapita','2'
'sant-celoni','1'
'sant-cugat-del-valles','8'
'sant-esteve-de-palautordera','1'
'sant-esteve-sesrovires','2'
'sant-feliu-de-codines','2'
'sant-feliu-de-llobregat','2'
'sant-joan-d-alacant','5'
'sant-joan-de-les-abadesses','1'
'sant-joan-despi','2'
'sant-just-desvern','2'
'sant-llorenc-savall','2'
'sant-pere-de-ribes','6'
'sant-pol-de-mar','2'
'sant-quirze-del-valles','1'
'sant-sadurni-d-anoia','7'
'sant-vicen-dels-horts','2'
'sant-vicenc-dels-horts','2'
'santa-coloma-de-farners','1'
'santa-coloma-de-gramenet','4'
'santa-comba','2'
'santa-cruz-oleiros','6'
'santa-cruz-de-la-palma','1'
'santa-cruz-de-tenerife','11'
'santa-eulalia-del-rio','1'
'santa-lucia-de-tirajana','7'
'santa-maria-de-guia','1'
'santa-maria-de-palautordera','1'
'santa-maria-del-cami','1'
'santa-perpetua-de-mogoda','4'
'santa-pola','1'
'santa-ponca','2'
'santander','6'
'santanyi','1'
'santiago-de-compostela','5'
'santomera','8'
'santona','1'
'santpedor','2'
'santurtzi','1'
'sanxenxo','6'
'sedavi','12'
'segorbe','2'
'segovia','2'
'sentmenat','1'
'seron','1'
'sevilla','54'
'sils','1'
'sitges','2'
'soller','1'
'solsona','1'
'son-ferriol','21'
'sonseca','1'
'soria','1'
'soto-del-real','3'
'sueca','4'
'tacoronte','1'
'talavera-de-la-reina','3'
'tamaraceite-lomo-de','4'
'tarancon','1'
'tarazona','1'
'tarifa','1'
'tarragona','9'
'tarrega','2'
'tavernes-de-la-valldigna','3'
'telde','2'
'terrassa','9'
'teruel','1'
'tiana','1'
'tijarafe','1'
'toledo','7'
'tomares','2'
'tomelloso','1'
'tona','1'
'tordera','1'
'torre-del-mar','1'
'torre-pacheco','1'
'torredembarra','1'
'torredonjimeno','1'
'torrejon-de-ardoz','4'
'torrejon-de-velasco','1'
'torrelavega','1'
'torrelodones','2'
'torremolinos','4'
'torrent','2'
'torrevieja','2'
'torrijos','1'
'torroella-de-montgri','1'
'torrox-costa','1'
'tortosa','2'
'totana','1'
'tres-cantos','3'
'trujillo','5'
'tudela','2'
'tui','1'
'turre','1'
'ubeda','2'
'umbrete','1'
'utebo','2'
'utiel','1'
'utrera','1'
'valdemorillo','2'
'valdemoro','4'
'valdepenas','1'
'valencia','55'
'valencina-de-la-concepcion','3'
'vall-d-alba','1'
'vall-de-uxo','1'
'valladolid','8'
'vallirana','1'
'valls','1'
'valverde-del-camino','1'
'vecindario','2'
'vejer-de-la-frontera','1'
'velez-rubio','1'
'velez-malaga','3'
'vera','1'
'verin','1'
'viator','9'
'vic','4'
'vicalvaro','6'
'vielha-viella','1'
'vigo','12'
'vila-real','1'
'vila-seca','2'
'vilablareix','1'
'viladecans','6'
'vilafant','3'
'vilafranca-del-penedes','3'
'vilagarcia-de-arousa','1'
'vilagrassa','1'
'vilanova-i-la-geltru','6'
'vilassar-de-dalt','5'
'vilassar-de-mar','2'
'villa-del-prado','1'
'villacanas','1'
'villafranca-de-los-barros','1'
'villafranca-del-castillo','3'
'villagarcia-de-arosa','1'
'villalba','1'
'villalbilla','7'
'villanueva-de-la-canada','2'
'villanueva-de-la-serena','1'
'villanueva-del-ariscal','1'
'villanueva-del-pardillo','1'
'villaviciosa','1'
'villaviciosa-de-odon','2'
'villena','1'
'vinaros','2'
'vitoria','4'
'xativa','2'
'yecla','1'
'zafra','1'
'zamora','2'
'zaragoza','17'
'zarautz','1'
